Cheval;Âge;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur
STARAC;3;H;PUR SANG;5;1;2;9550,00;7161,00;16711,00;1910,00;360.0
SOUS LA NEIGE;5;H;PUR SANG;7;0;4;9546,00;4295,00;13841,00;1363,71;395.0
BRAMANS;4;H;PUR SANG;6;1;1;9540,00;4293,00;13833,00;1590,00;315.0
OTOMAI;3;M;PUR SANG;5;0;4;9540,00;7154,00;16694,00;1908,00;350.0
MADJOULY;3;F;PUR SANG;6;1;3;9537,00;7151,00;16688,00;1589,50;260.0
MA MOME;4;F;PUR SANG;8;0;5;9528,00;4286,00;13814,00;1191,00;310.0
DARK TROOPER;5;H;PUR SANG;2;0;1;9520,00;0,00;9520,00;4760,00;480.0
REDORANGE;3;H;PUR SANG;1;0;1;9520,00;0,00;9520,00;9520,00;470.0
MOKKA LATTE;3;F;PUR SANG;7;0;5;9518,00;7138,00;16656,00;1359,71;300.0
TORNILLA;4;F;PUR SANG;7;1;3;9510,00;4278,00;13788,00;1358,57;290.0
CHEESE;7;H;PUR SANG;4;1;2;9500,00;4275,00;13775,00;2375,00;325.0
PONT MIRABEAU;7;H;PUR SANG;2;1;0;9500,00;4275,00;13775,00;4750,00;350.0
CITY OF HOPE;5;M;PUR SANG;3;1;0;9500,00;4275,00;13775,00;3166,67;325.0
STONEYS;4;F;PUR SANG;9;1;2;9500,00;4275,00;13775,00;1055,56;280.0
NUNUKA;3;F;PUR SANG;3;1;1;9500,00;7125,00;16625,00;3166,67;320.0
MOMINA;4;F;ARABE;5;0;4;9500,00;4275,00;13775,00;1900,00;440.0
MIA TERRE;2;F;PUR SANG;4;1;3;9495,00;7121,00;16616,00;2373,75;320.0
ROSALITA;3;F;PUR SANG;8;1;5;9470,00;7102,00;16572,00;1183,75;290.0
BLACK PANTHER;7;F;PUR SANG;11;1;7;9468,00;2684,00;12152,00;860,73;165.0
RIO;4;F;PUR SANG;2;1;1;9460,00;4257,00;13717,00;4730,00;320.0
PRINCE OF CLOUDS;4;H;PUR SANG;5;0;2;9456,00;4255,00;13711,00;1891,20;355.0
SERPENTARD AA;4;H;*ANGLO-ARABE COMPLEMENT*;1;1;0;9450,00;0,00;9450,00;9450,00;
SUCHET;4;H;PUR SANG;3;0;2;9450,00;4252,00;13702,00;3150,00;440.0
PRIVATE DANCER;3;H;PUR SANG;2;0;2;9450,00;7087,00;16537,00;4725,00;
AURA;3;F;PUR SANG;5;0;2;9450,00;7087,00;16537,00;1890,00;335.0
ALAVESA;3;F;PUR SANG;2;0;2;9450,00;0,00;9450,00;4725,00;
SORIANE;5;F;PUR SANG;7;0;6;9446,00;4250,00;13696,00;1349,43;235.0
ROBIN;4;H;PUR SANG;3;1;1;9440,00;4248,00;13688,00;3146,67;295.0
REMAMA;5;F;PUR SANG;8;0;4;9440,00;4248,00;13688,00;1180,00;330.0
ROSE ACADEMY;4;F;PUR SANG;7;0;5;9440,00;4248,00;13688,00;1348,57;315.0
HINDABAD AA;3;M;ANGLO-ARABE DE COMPLEMENT;4;0;3;9440,00;0,00;9440,00;2360,00;
MENGANA;2;F;PUR SANG;4;1;2;9432,00;7074,00;16506,00;2358,00;330.0
COLD PLAY;8;H;PUR SANG;10;1;4;9416,00;4237,00;13653,00;941,60;240.0
BRAVE EVAN;4;H;PUR SANG;7;1;3;9410,00;4234,00;13644,00;1344,29;240.0
MAYDY DE ROMAY;3;F;PUR SANG;8;1;5;9410,00;3839,00;13249,00;1176,25;240.0
CARIFTA;4;F;PUR SANG;11;1;7;9405,00;4231,00;13636,00;855,00;520.0
KELYSSA DES MOTTES;5;F;CHEVAL AUTRE QUE PUR SANG;2;2;0;9400,00;0,00;9400,00;4700,00;
LUCKY LADY;4;F;PUR SANG;8;1;4;9400,00;4230,00;13630,00;1175,00;220.0
SIMPLY STRIKING;9;H;PUR SANG;5;0;3;9399,00;4229,00;13628,00;1879,80;355.0
RABBAH;6;H;PUR SANG;11;0;9;9378,00;4219,00;13597,00;852,55;240.0
YSOIE;4;F;PUR SANG;10;0;7;9375,00;3407,00;12782,00;937,50;220.0
ROAST CHESTNUT;4;F;PUR SANG;4;0;4;9370,00;0,00;9370,00;2342,50;305.0
TROPHANE;4;F;PUR SANG;5;0;4;9360,00;4211,00;13571,00;1872,00;330.0
TAVULLIA;3;F;PUR SANG;5;0;3;9360,00;7020,00;16380,00;1872,00;295.0
LISEO;6;H;PUR SANG;7;0;4;9360,00;0,00;9360,00;1337,14;330.0
KNUCKLE;3;F;PUR SANG;5;1;2;9356,00;2892,00;12248,00;1871,20;350.0
DIAMOND VENDOME;10;H;PUR SANG;11;0;6;9356,00;4209,00;13565,00;850,55;370.0
KILFRUSH MEMORIES;9;H;PUR SANG;6;1;2;9350,00;2070,00;11420,00;1558,33;340.0
JUDICIOUS GAME;6;H;PUR SANG;4;1;1;9350,00;4207,00;13557,00;2337,50;250.0
ANDRE AS;3;H;PUR SANG;6;1;2;9350,00;3262,00;12612,00;1558,33;305.0
LILLY LUX;4;F;PUR SANG;2;1;1;9340,00;4203,00;13543,00;4670,00;350.0
I LOVE CHACHA;4;H;PUR SANG;4;1;1;9340,00;4203,00;13543,00;2335,00;350.0
COUR DU ROI;6;H;PUR SANG;8;1;2;9340,00;4203,00;13543,00;1167,50;300.0
SOIF DE VIVRE;3;H;PUR SANG;9;0;6;9330,00;6997,00;16327,00;1036,67;265.0
ANOTHERMINE;3;F;PUR SANG;5;0;3;9326,00;6994,00;16320,00;1865,20;350.0
DAKOVKA;4;F;PUR SANG;7;0;4;9322,00;4194,00;13516,00;1331,71;285.0
JARDIN BLEU;7;H;PUR SANG;11;0;8;9311,00;4187,00;13498,00;846,45;200.0
BOZZO;5;H;PUR SANG;6;1;2;9300,00;4185,00;13485,00;1550,00;305.0
FREED FROM DESIRE;3;F;PUR SANG;4;1;1;9300,00;6975,00;16275,00;2325,00;315.0
CORAZON;3;F;PUR SANG;3;1;1;9300,00;6975,00;16275,00;3100,00;285.0
HARMONY;2;F;PUR SANG;6;2;3;9290,00;6966,00;16256,00;1548,33;
PRINCESSE COLUMBIA;4;F;PUR SANG;10;0;9;9280,00;4175,00;13455,00;928,00;240.0
MISS TALVARD;2;F;PUR SANG;2;1;1;9276,00;6957,00;16233,00;4638,00;
QUEEN'S ANGEL;4;F;PUR SANG;11;0;6;9270,00;4171,00;13441,00;842,73;215.0
SOUPIR;7;H;PUR SANG;9;1;6;9264,00;4167,00;13431,00;1029,33;185.0
GOLDEN GREY;5;H;PUR SANG;6;2;3;9260,00;4167,00;13427,00;1543,33;525.0
WILD ANGEL;3;F;PUR SANG;2;1;1;9260,00;0,00;9260,00;4630,00;
MAUZAC AA;3;H;ANGLO-ARABE;5;0;4;9260,00;0,00;9260,00;1852,00;
STEADY SUCCESS;4;H;PUR SANG;4;1;2;9250,00;2362,00;11612,00;2312,50;320.0
FUCHSIA;8;F;PUR SANG;6;0;6;9243,00;0,00;9243,00;1540,50;260.0
ANTE ALIOS;6;H;PUR SANG;2;1;1;9240,00;0,00;9240,00;4620,00;390.0
SEEYOUAGAIN;4;F;PUR SANG;5;0;3;9240,00;4158,00;13398,00;1848,00;315.0
TANIS;4;F;PUR SANG;12;0;7;9240,00;4158,00;13398,00;770,00;290.0
CASCADEO;4;M;PUR SANG;10;0;7;9240,00;3796,00;13036,00;924,00;255.0
PINKY CEN;3;F;PUR SANG;3;0;2;9230,00;6922,00;16152,00;3076,67;440.0
DADAS BOY;4;H;PUR SANG;3;0;3;9210,00;0,00;9210,00;3070,00;250.0
CENTRICAL;7;H;PUR SANG;5;1;3;9208,00;2433,00;11641,00;1841,60;370.0
HAUSSEZ;6;H;PUR SANG;6;1;2;9200,00;2430,00;11630,00;1533,33;345.0
SHUMMA;4;F;ARABE;2;0;2;9200,00;4140,00;13340,00;4600,00;480.0
KETMIE QUEEN;3;F;PUR SANG;7;0;3;9200,00;6900,00;16100,00;1314,29;330.0
DREAM OF HOPE;4;F;PUR SANG;5;0;3;9200,00;0,00;9200,00;1840,00;305.0
GIACOMO;3;H;PUR SANG;3;0;2;9200,00;0,00;9200,00;3066,67;350.0
VINO;4;F;PUR SANG;14;0;8;9197,00;4137,00;13334,00;656,93;200.0
LADY LOU;6;F;PUR SANG;6;1;1;9180,00;4131,00;13311,00;1530,00;240.0
GOLDEN GLOBE;4;H;PUR SANG;11;1;4;9180,00;3410,00;12590,00;834,55;210.0
COMTESSE VERA;6;F;PUR SANG;7;1;3;9176,00;4129,00;13305,00;1310,86;210.0
SHOWMAN;6;H;PUR SANG;7;1;3;9168,00;4125,00;13293,00;1309,71;200.0
JARRY LORD;5;H;PUR SANG;5;1;1;9168,00;4125,00;13293,00;1833,60;285.0
READY TO GO;3;F;PUR SANG;7;1;4;9152,00;6864,00;16016,00;1307,43;275.0
MEIKA;3;F;CHEVAL AUTRE QUE PUR SANG;1;1;0;9150,00;0,00;9150,00;9150,00;
ME VOILA LA MOME;3;F;CHEVAL AUTRE QUE PUR SANG;7;1;3;9150,00;0,00;9150,00;1307,14;
TYSON;3;H;PUR SANG;2;1;1;9150,00;6862,00;16012,00;4575,00;
LARCIN;4;H;PUR SANG;4;1;1;9140,00;4113,00;13253,00;2285,00;255.0
ASHIKTASH;6;H;PUR SANG;6;0;3;9130,00;4108,00;13238,00;1521,67;345.0
LETS DANSE DOUDOU;4;F;CHEVAL AUTRE QUE PUR SANG;5;0;4;9125,00;0,00;9125,00;1825,00;
OLAF THE BIG ONE;6;H;PUR SANG;12;0;6;9120,00;4103,00;13223,00;760,00;250.0
NIZAM;3;H;PUR SANG;4;0;2;9120,00;6840,00;15960,00;2280,00;420.0
FURIEUSE AA;6;F;*ANGLO-ARABE*;4;0;4;9110,00;0,00;9110,00;2277,50;
BEST SHALAA;4;F;PUR SANG;14;0;8;9104,00;4095,00;13199,00;650,29;245.0
BORNAWAY;3;F;PUR SANG;5;0;3;9100,00;6824,00;15924,00;1820,00;320.0
ERLE;4;F;PUR SANG;1;0;1;9100,00;0,00;9100,00;9100,00;
IHOA;4;F;PUR SANG;11;0;8;9095,00;4092,00;13187,00;826,82;195.0
BELCHA;9;H;PUR SANG;13;1;5;9091,00;3617,00;12708,00;699,31;190.0
MUNAADRAM;7;F;PUR SANG;18;0;10;9076,00;2761,00;11837,00;504,22;155.0
NAJEM SHALGHODA;6;H;PUR SANG;4;1;1;9072,00;0,00;9072,00;2268,00;200.0
CERVINIA;3;F;PUR SANG;4;0;3;9062,00;6796,00;15858,00;2265,50;360.0
READY KING;4;H;PUR SANG;11;0;7;9061,00;4076,00;13137,00;823,73;270.0
SWEET BETSY;7;F;PUR SANG;4;1;2;9056,00;4075,00;13131,00;2264,00;240.0
DSCHINGIS NOBLESSE;3;F;PUR SANG;4;0;4;9052,00;6788,00;15840,00;2263,00;305.0
SALMA;4;F;PUR SANG;9;0;5;9050,00;4072,00;13122,00;1005,56;280.0
HELLO AVENUE;2;F;PUR SANG;2;0;2;9042,00;6781,00;15823,00;4521,00;
BOB LA BIDOUILLE;6;H;PUR SANG;5;2;1;9030,00;2263,00;11293,00;1806,00;260.0
ICONIC STARS;4;H;PUR SANG;11;0;6;9015,00;3408,00;12423,00;819,55;210.0
RIO D'OCTOBRE;7;H;PUR SANG;5;1;0;9000,00;4050,00;13050,00;1800,00;335.0
ANTRIM;7;M;PUR SANG;2;1;0;9000,00;4050,00;13050,00;4500,00;300.0
HASAPIKO;5;F;PUR SANG;1;1;0;9000,00;4050,00;13050,00;9000,00;395.0
SHIHOKU;4;H;PUR SANG;2;1;0;9000,00;4050,00;13050,00;4500,00;
RAPIDE;4;F;PUR SANG;3;1;0;9000,00;4050,00;13050,00;3000,00;320.0
MISSION SECRETE;4;F;PUR SANG;4;1;0;9000,00;4050,00;13050,00;2250,00;305.0
LA MANDALA;4;F;PUR SANG;4;1;0;9000,00;4050,00;13050,00;2250,00;375.0
ATLANTIC WAYS;4;F;PUR SANG;4;1;0;9000,00;4050,00;13050,00;2250,00;330.0
WURFGEIST;5;H;PUR SANG;3;1;0;9000,00;0,00;9000,00;3000,00;330.0
SHASTANA;4;F;PUR SANG;4;1;1;9000,00;0,00;9000,00;2250,00;350.0
FIUMICCINO;3;H;PUR SANG;6;0;4;9000,00;6749,00;15749,00;1500,00;320.0
SIR CRATER;3;M;PUR SANG;5;0;2;9000,00;6750,00;15750,00;1800,00;350.0
ROATAN;5;H;PUR SANG;4;0;4;8978,00;4039,00;13017,00;2244,50;370.0
MISAM;3;F;CHEVAL AUTRE QUE PUR SANG;2;1;1;8975,00;0,00;8975,00;4487,50;
EMBIEZ;4;F;PUR SANG;6;0;5;8975,00;4037,00;13012,00;1495,83;280.0
LIANE;4;F;PUR SANG;10;1;3;8970,00;4036,00;13006,00;897,00;190.0
SPARKEL FOR US;6;H;PUR SANG;4;1;1;8950,00;4027,00;12977,00;2237,50;290.0
O MEIGO;3;M;PUR SANG;4;0;3;8950,00;6712,00;15662,00;2237,50;320.0
SETOCITY;3;M;PUR SANG;7;0;5;8950,00;0,00;8950,00;1278,57;295.0
DAVALLIA;3;F;PUR SANG;6;0;6;8942,00;6705,00;15647,00;1490,33;310.0
BAIKAL;8;H;PUR SANG;6;1;2;8940,00;2403,00;11343,00;1490,00;255.0
VIF DE BOISTRON;3;H;PUR SANG;6;0;4;8940,00;6704,00;15644,00;1490,00;320.0
PERLE RARE'JAC AA;3;F;*ANGLO-ARABE*;4;0;4;8940,00;0,00;8940,00;2235,00;
JULDIKO;6;H;ORIGINE CONSTATEE;5;2;1;8925,00;1710,00;10635,00;1785,00;150.0
OISSEL;7;F;PUR SANG;5;0;4;8920,00;4014,00;12934,00;1784,00;285.0
TINTEBLEU;3;H;PUR SANG;5;0;3;8920,00;6690,00;15610,00;1784,00;320.0
DREAM IN BROOKE;3;F;PUR SANG;8;0;4;8915,00;6686,00;15601,00;1114,38;285.0
THE SNARK;3;H;PUR SANG;5;0;5;8910,00;6682,00;15592,00;1782,00;345.0
LIO DE LA PLATA;4;F;PUR SANG;6;0;5;8900,00;4004,00;12904,00;1483,33;270.0
KANIFUSHI;6;H;PUR SANG;4;1;2;8899,00;4004,00;12903,00;2224,75;235.0
AGELKA;5;F;PUR SANG;5;2;1;8897,00;2698,00;11595,00;1779,40;250.0
BAI TU LONG;3;F;PUR SANG;11;1;4;8889,00;6666,00;15555,00;808,09;215.0
STARGOLD;4;M;PUR SANG;2;1;1;8880,00;3996,00;12876,00;4440,00;275.0
SKIPPER;6;H;PUR SANG;5;1;4;8870,00;3991,00;12861,00;1774,00;265.0
ZELINA;5;F;PUR SANG;7;1;2;8854,00;3983,00;12837,00;1264,86;260.0
SCARLET VALENTINE;3;F;PUR SANG;7;1;2;8850,00;6637,00;15487,00;1264,29;290.0
REBINKA;3;F;PUR SANG;3;1;2;8850,00;0,00;8850,00;2950,00;310.0
YAMANAKA;3;M;PUR SANG;3;0;3;8850,00;6637,00;15487,00;2950,00;370.0
TORTOLA;7;F;PUR SANG;11;0;7;8830,00;3972,00;12802,00;802,73;230.0
VICTORY SALUTE;5;H;PUR SANG;10;0;4;8830,00;3973,00;12803,00;883,00;315.0
PREFERENCIA;7;F;PUR SANG;11;0;7;8812,00;3963,00;12775,00;801,09;150.0
HEPZIBAH;7;F;PUR SANG;5;1;2;8810,00;3964,00;12774,00;1762,00;215.0
BOKEN;8;H;PUR SANG;9;0;5;8810,00;3964,00;12774,00;978,89;250.0
A BEAUREGARD;4;H;PUR SANG;6;0;3;8808,00;3963,00;12771,00;1468,00;320.0
MAYDANA;6;F;PUR SANG;4;1;1;8800,00;3960,00;12760,00;2200,00;240.0
LILI DE BERSY;4;F;CHEVAL AUTRE QUE PUR SANG;3;1;2;8800,00;0,00;8800,00;2933,33;
HARRISON POINT;8;H;PUR SANG;6;0;4;8800,00;3960,00;12760,00;1466,67;315.0
ORION ROCK;5;H;PUR SANG;4;1;3;8796,00;3957,00;12753,00;2199,00;325.0
PENNYWELL;5;F;PUR SANG;10;1;2;8780,00;3951,00;12731,00;878,00;150.0
ELENKA;3;F;PUR SANG;8;0;4;8780,00;6584,00;15364,00;1097,50;265.0
MUDDY MOOY;4;F;PUR SANG;1;0;1;8780,00;0,00;8780,00;8780,00;430.0
GRAND SON HAVANA;3;F;PUR SANG;6;0;4;8770,00;6577,00;15347,00;1461,67;280.0
KAMAKURA ONE;4;F;PUR SANG;4;1;2;8768,00;3945,00;12713,00;2192,00;325.0
MESSALA DE LABBAYE AA;3;M;ANGLO-ARABE DE COMPLEMENT;6;0;4;8765,00;0,00;8765,00;1460,83;
LADY ACHILLIA;3;F;PUR SANG;5;0;3;8760,00;6569,00;15329,00;1752,00;345.0
ZENADIA;2;F;PUR SANG;6;0;6;8760,00;6570,00;15330,00;1460,00;355.0
LOCCA DE THAIX;4;F;CHEVAL AUTRE QUE PUR SANG;1;1;0;8750,00;0,00;8750,00;8750,00;
LEADER ALLEN;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;2;8750,00;0,00;8750,00;4375,00;
TRADE HONOR;4;H;PUR SANG;4;1;2;8740,00;3933,00;12673,00;2185,00;335.0
DRUMARD;4;M;PUR SANG;4;0;3;8740,00;3933,00;12673,00;2185,00;385.0
BAKI CHOPE;2;F;PUR SANG;3;0;2;8740,00;6554,00;15294,00;2913,33;340.0
LE ROI LEON;3;H;PUR SANG;8;0;5;8730,00;6546,00;15276,00;1091,25;340.0
GRAY D'ALBION;5;M;PUR SANG;6;1;3;8728,00;3927,00;12655,00;1454,67;215.0
MISSISSIPPI RIVER;3;H;CHEVAL AUTRE QUE PUR SANG;2;1;1;8725,00;0,00;8725,00;4362,50;
GLAVIA;3;F;PUR SANG;6;0;3;8715,00;6536,00;15251,00;1452,50;340.0
ZASTER FOR ALL;7;F;PUR SANG;8;0;6;8704,00;3915,00;12619,00;1088,00;160.0
MOSSKY AA;9;H;*ANGLO-ARABE COMPLEMENT*;2;1;1;8700,00;0,00;8700,00;4350,00;
SAGANO;8;H;PUR SANG;1;1;0;8700,00;3915,00;12615,00;8700,00;315.0
KHADIDJA;3;F;PUR SANG;2;1;1;8700,00;0,00;8700,00;4350,00;405.0
VANINA RUNAWAY;2;F;PUR SANG;4;0;4;8700,00;6525,00;15225,00;2175,00;320.0
ELASTIC;2;M;PUR SANG;1;0;1;8683,00;6512,00;15195,00;8683,00;
TICKLE;2;F;PUR SANG;1;0;1;8683,00;0,00;8683,00;8683,00;
PLEASING;4;F;PUR SANG;5;0;4;8679,00;3904,00;12583,00;1735,80;290.0
DARKA DU RAYNAL AA;4;F;ANGLO-ARABE DE COMPLEMENT;4;0;4;8675,00;0,00;8675,00;2168,75;
SIGNORIA PIAZZA;3;F;PUR SANG;9;1;5;8672,00;0,00;8672,00;963,56;270.0
EARENDEL;4;F;PUR SANG;4;0;2;8672,00;0,00;8672,00;2168,00;355.0
GOLDEN BLUSH;3;F;PUR SANG;4;1;1;8670,00;6502,00;15172,00;2167,50;330.0
COOBIRD;7;M;PUR SANG;7;1;4;8660,00;3897,00;12557,00;1237,14;665.0
GALILEE DREAM;5;F;PUR SANG;8;1;4;8660,00;3897,00;12557,00;1082,50;255.0
MAGIC DREAM AA;3;F;ANGLO-ARABE;2;1;1;8640,00;0,00;8640,00;4320,00;
ATLANTIGO;6;H;PUR SANG;12;0;5;8640,00;3402,00;12042,00;720,00;270.0
TIGRE ROUGE;6;H;PUR SANG;5;0;4;8630,00;3883,00;12513,00;1726,00;235.0
BEAUTIFOAL;4;F;PUR SANG;9;1;5;8620,00;3366,00;11986,00;957,78;230.0
YALA;3;F;PUR SANG;4;0;3;8610,00;6457,00;15067,00;2152,50;320.0
LE CHOREGRAPHE;4;H;CHEVAL AUTRE QUE PUR SANG;5;1;2;8600,00;0,00;8600,00;1720,00;
WOOTTON MELODY;4;M;PUR SANG;3;0;3;8590,00;3865,00;12455,00;2863,33;380.0
ARTISTIC GLORY;7;F;PUR SANG;9;1;8;8585,00;3862,00;12447,00;953,89;470.0
TRUST ON ME;8;F;PUR SANG;4;1;2;8584,00;3862,00;12446,00;2146,00;210.0
MADAME LABOUEYRIE AA;3;F;ANGLO-ARABE;3;0;2;8576,00;0,00;8576,00;2858,67;
ALAMSAR;5;H;PUR SANG;11;0;5;8574,00;3857,00;12431,00;779,45;230.0
KRUNGTHEPMAHANAKON;4;H;PUR SANG;6;1;2;8560,00;3852,00;12412,00;1426,67;270.0
ZABIR;5;H;PUR SANG;7;1;2;8550,00;3847,00;12397,00;1221,43;215.0
RED COUNTESS;4;F;PUR SANG;14;0;7;8550,00;3847,00;12397,00;610,71;190.0
LEBOWSKI;3;H;PUR SANG;3;0;2;8550,00;6412,00;14962,00;2850,00;360.0
BEST LOOKING;4;F;PUR SANG;6;1;1;8544,00;3844,00;12388,00;1424,00;290.0
ASTRA DREAM;4;F;PUR SANG;9;0;6;8530,00;3838,00;12368,00;947,78;350.0
WAPI;4;H;PUR SANG;6;0;3;8521,00;3834,00;12355,00;1420,17;365.0
ACHILEA CHOPE;2;F;PUR SANG;5;1;3;8520,00;6390,00;14910,00;1704,00;350.0
SAN TEODORICO;6;H;PUR SANG;9;0;6;8518,00;3832,00;12350,00;946,44;240.0
FALBALA;4;F;PUR SANG;6;1;4;8510,00;3829,00;12339,00;1418,33;295.0
LE HOULME;6;H;PUR SANG;13;0;6;8508,00;3828,00;12336,00;654,46;155.0
LE CONQUERANT;3;H;PUR SANG;4;0;3;8505,00;6378,00;14883,00;2126,25;335.0
EXPLORAR;8;H;PUR SANG;11;0;6;8502,00;3825,00;12327,00;772,91;190.0
KING OF MEADOWS;5;H;PUR SANG;4;1;0;8500,00;3825,00;12325,00;2125,00;305.0
KETAMINE BAILLY;5;F;PUR SANG;3;1;0;8500,00;3825,00;12325,00;2833,33;270.0
PUMP PUMP LADY;4;F;PUR SANG;1;1;0;8500,00;3825,00;12325,00;8500,00;345.0
LE GRAND JEU AA;4;H;ANGLO-ARABE;3;1;0;8500,00;0,00;8500,00;2833,33;
DARNYA;4;F;PUR SANG;6;1;1;8500,00;0,00;8500,00;1416,67;310.0
BURN TO SHINE;3;H;PUR SANG;3;1;0;8500,00;6375,00;14875,00;2833,33;405.0
AMOUAGE;4;H;PUR SANG;13;0;8;8494,00;3821,00;12315,00;653,38;220.0
BIG DREAM CEN;3;M;PUR SANG;5;1;2;8476,00;6356,00;14832,00;1695,20;335.0
QUEEN BAY;6;F;PUR SANG;7;0;5;8460,00;3807,00;12267,00;1208,57;230.0
FRENCH DEFENSE;5;H;PUR SANG;12;0;4;8460,00;3807,00;12267,00;705,00;180.0
CREEKATTEMPS;4;F;PUR SANG;7;0;6;8460,00;3806,00;12266,00;1208,57;300.0
SPLENDINO;5;H;PUR SANG;5;0;3;8450,00;3802,00;12252,00;1690,00;395.0
TREASURE KEEPER;7;M;PUR SANG;2;0;2;8440,00;3798,00;12238,00;4220,00;360.0
RED SUGAR;6;F;PUR SANG;9;0;6;8440,00;3798,00;12238,00;937,78;165.0
CERVARO;6;H;PUR SANG;7;0;5;8423,00;3789,00;12212,00;1203,29;205.0
AME D'OR;3;F;PUR SANG;4;0;3;8415,00;6310,00;14725,00;2103,75;345.0
LOVELYMATCH;4;F;PUR SANG;2;1;1;8400,00;1980,00;10380,00;4200,00;420.0
SHARGHA;4;F;ARABE;3;1;1;8400,00;3780,00;12180,00;2800,00;420.0
ALMAHASIN;4;F;ARABE;3;1;1;8400,00;0,00;8400,00;2800,00;400.0
PIRAILLAN;3;M;PUR SANG;6;0;4;8400,00;6299,00;14699,00;1400,00;315.0
MALICIA;3;F;PUR SANG;5;0;3;8400,00;6300,00;14700,00;1680,00;345.0
ROMIN;3;H;PUR SANG;2;0;2;8400,00;6300,00;14700,00;4200,00;
KARINAS DREAM;6;H;PUR SANG;7;1;2;8390,00;3775,00;12165,00;1198,57;305.0
MAGIC TUNIS;5;H;PUR SANG;10;0;5;8373,00;3766,00;12139,00;837,30;265.0
LITTLE JUMBY;3;H;PUR SANG;12;0;6;8370,00;6276,00;14646,00;697,50;235.0
KOULIKORO;3;F;PUR SANG;5;0;5;8368,00;0,00;8368,00;1673,60;320.0
TIAMOWAY;3;H;PUR SANG;3;1;1;8350,00;6262,00;14612,00;2783,33;355.0
UGATZAI;4;H;PUR SANG;11;0;8;8350,00;3757,00;12107,00;759,09;195.0
BLUE ISLAND;3;F;PUR SANG;3;0;2;8350,00;6262,00;14612,00;2783,33;400.0
EXCITING;7;H;PUR SANG;7;0;3;8340,00;3753,00;12093,00;1191,43;315.0
BAWE ISLAND;4;F;PUR SANG;11;0;3;8340,00;3753,00;12093,00;758,18;160.0
PINK PERSEVERANCE;4;F;PUR SANG;5;0;3;8340,00;3753,00;12093,00;1668,00;340.0
TALLINSKI;11;H;PUR SANG;8;0;6;8320,00;0,00;8320,00;1040,00;205.0
LUC SUR MER;5;H;PUR SANG;5;1;3;8310,00;3739,00;12049,00;1662,00;350.0
WESTMINSTER NIGHT;6;H;PUR SANG;6;0;3;8300,00;3735,00;12035,00;1383,33;390.0
SWEET DREAMS;4;H;PUR SANG;7;0;4;8282,00;3726,00;12008,00;1183,14;260.0
INSPIRADO;4;H;PUR SANG;8;0;5;8280,00;3006,00;11286,00;1035,00;280.0
RECLAIM;5;H;PUR SANG;7;0;5;8275,00;0,00;8275,00;1182,14;240.0
BURATTINA;7;F;PUR SANG;10;0;5;8272,00;0,00;8272,00;827,20;225.0
GENNY DANCE;5;F;PUR SANG;6;2;2;8270,00;3721,00;11991,00;1378,33;495.0
IRTYCH;4;H;PUR SANG;9;0;5;8270,00;3721,00;11991,00;918,89;270.0
LA VALSERINE;4;F;CHEVAL AUTRE QUE PUR SANG;1;1;0;8250,00;0,00;8250,00;8250,00;
ROSHVAR;4;H;PUR SANG;1;1;0;8250,00;3712,00;11962,00;8250,00;450.0
BRIGHT PICTURE;4;H;PUR SANG;1;1;0;8250,00;3712,00;11962,00;8250,00;505.0
PROMETHEAN;4;H;PUR SANG;1;1;0;8250,00;3712,00;11962,00;8250,00;
MACKTOAD;3;H;CHEVAL AUTRE QUE PUR SANG;1;1;0;8250,00;0,00;8250,00;8250,00;
GREY MAN;4;M;PUR SANG;4;0;3;8250,00;3712,00;11962,00;2062,50;425.0
GLAMIS ROAD;3;F;PUR SANG;2;0;1;8250,00;0,00;8250,00;4125,00;450.0
AURORA'S BEAUTY;4;F;PUR SANG;7;0;3;8240,00;0,00;8240,00;1177,14;285.0
ELLUSIVE BUTTERFLY;2;F;PUR SANG;1;0;1;8235,00;0,00;8235,00;8235,00;
ABSOLUTE;4;F;PUR SANG;5;0;4;8233,00;3704,00;11937,00;1646,60;290.0
SLEIPNIR NORMANDY;4;H;PUR SANG;10;0;5;8230,00;3703,00;11933,00;823,00;250.0
CORO CHOP;5;H;PUR SANG;15;1;7;8220,00;1568,00;9788,00;548,00;230.0
PIANTARELLA;5;F;PUR SANG;7;0;5;8220,00;3699,00;11919,00;1174,29;235.0
UMAMI;3;F;PUR SANG;6;0;4;8215,00;6160,00;14375,00;1369,17;265.0
HAARLEM;3;F;PUR SANG;6;1;1;8200,00;6150,00;14350,00;1366,67;365.0
SOLID CHANCE;2;M;PUR SANG;2;0;2;8200,00;6150,00;14350,00;4100,00;
KIND OF STAR;4;H;PUR SANG;9;0;4;8189,00;3684,00;11873,00;909,89;280.0
DEPENDE;9;H;PUR SANG;4;0;4;8180,00;3680,00;11860,00;2045,00;470.0
VERTIGO POMPADOUR AA;5;M;ANGLO-ARABE;4;0;4;8133,00;0,00;8133,00;2033,25;
SENZA TE;4;F;PUR SANG;8;0;7;8126,00;3656,00;11782,00;1015,75;290.0
